Month,NO2 2020
01-Jan,20
02-Jan,18
03-Jan,15
04-Jan,13
05-Jan,20
06-Jan,21
07-Jan,22
08-Jan,18
09-Jan,18
10-Jan,19
11-Jan,18
12-Jan,12
13-Jan,21
14-Jan,13
15-Jan,15
16-Jan,22
17-Jan,17
18-Jan,20
19-Jan,19
20-Jan,35
21-Jan,32
22-Jan,32
23-Jan,31
24-Jan,28
25-Jan,21
26-Jan,16
27-Jan,17
28-Jan,11
29-Jan,11
30-Jan,15
31-Jan,14
01-Feb,10
02-Feb,15
03-Feb,14
04-Feb,17
05-Feb,28
06-Feb,28
07-Feb,28
08-Feb,22
09-Feb,7
10-Feb,6
11-Feb,7
12-Feb,12
13-Feb,22
14-Feb,19
15-Feb,12
16-Feb,6
17-Feb,9
18-Feb,9
19-Feb,12
20-Feb,15
21-Feb,11
22-Feb,8
23-Feb,9
24-Feb,16
25-Feb,15
26-Feb,17
27-Feb,25
28-Feb,22
29-Feb,10
01-Mar,10
02-Mar,24
03-Mar,22
04-Mar,25
05-Mar,21
06-Mar,18
07-Mar,22
08-Mar,12
09-Mar,17
10-Mar,10
11-Mar,14
12-Mar,9
13-Mar,12
14-Mar,18
15-Mar,14
16-Mar,19
17-Mar,18
18-Mar,15
19-Mar,19
20-Mar,16
21-Mar,8
22-Mar,7
23-Mar,19
24-Mar,18
25-Mar,20
26-Mar,17
27-Mar,18
28-Mar,9
29-Mar,4
31-Mar,27
01-Apr,14
02-Apr,16
03-Apr,21
04-Apr,12
05-Apr,15
06-Apr,20
07-Apr,26
08-Apr,23
09-Apr,14
10-Apr,17
11-Apr,27
12-Apr,6
13-Apr,15
14-Apr,25
15-Apr,19
16-Apr,12
17-Apr,12
18-Apr,8
19-Apr,13
20-Apr,11
21-Apr,13
22-Apr,22
23-Apr,17
24-Apr,10
25-Apr,14
26-Apr,19
27-Apr,20
28-Apr,16
29-Apr,15
30-Apr,12
01-May,10
02-May,15
03-May,13
04-May,9
05-May,17
06-May,25
07-May,32
08-May,19
09-May,7
10-May,9
11-May,12
12-May,16
13-May,16
14-May,18
15-May,13
16-May,15
17-May,15
18-May,21
19-May,18
20-May,18
21-May,19
22-May,7
23-May,7
24-May,13
25-May,19
26-May,15
27-May,17
28-May,18
29-May,11
30-May,10
31-May,14
01-Jun,25
02-Jun,19
03-Jun,11
04-Jun,12
05-Jun,8
06-Jun,6
07-Jun,13
08-Jun,18
09-Jun,22
10-Jun,19
11-Jun,16
12-Jun,14
13-Jun,17
14-Jun,19
15-Jun,32
16-Jun,17
17-Jun,17
18-Jun,18
19-Jun,10
