Month,NO2 2019
01-Jan,19
02-Jan,20
03-Jan,23
04-Jan,26
05-Jan,19
06-Jan,17
07-Jan,22
08-Jan,18
09-Jan,20
10-Jan,23
11-Jan,23
12-Jan,18
13-Jan,15
14-Jan,20
15-Jan,26
16-Jan,28
17-Jan,21
18-Jan,16
19-Jan,16
20-Jan,20
21-Jan,22
22-Jan,17
23-Jan,13
24-Jan,13
25-Jan,29
26-Jan,23
27-Jan,12
28-Jan,14
29-Jan,22
30-Jan,16
31-Jan,19
01-Feb,23
02-Feb,9
03-Feb,8
04-Feb,17
05-Feb,28
06-Feb,26
07-Feb,19
08-Feb,23
09-Feb,23
10-Feb,16
11-Feb,18
12-Feb,25
13-Feb,21
14-Feb,26
15-Feb,30
16-Feb,24
17-Feb,22
18-Feb,18
19-Feb,20
20-Feb,22
21-Feb,27
22-Feb,38
23-Feb,21
24-Feb,17
25-Feb,30
26-Feb,28
27-Feb,35
28-Feb,26
01-Mar,27
02-Mar,19
03-Mar,21
04-Mar,22
05-Mar,14
06-Mar,19
07-Mar,14
08-Mar,18
09-Mar,22
10-Mar,17
11-Mar,16
12-Mar,15
13-Mar,17
14-Mar,15
15-Mar,12
16-Mar,22
17-Mar,20
18-Mar,11
19-Mar,24
20-Mar,17
21-Mar,22
22-Mar,26
23-Mar,31
24-Mar,26
25-Mar,24
26-Mar,16
27-Mar,20
28-Mar,21
29-Mar,18
30-Mar,16
31-Mar,9
01-Apr,24
02-Apr,12
03-Apr,12
04-Apr,20
05-Apr,11
06-Apr,12
07-Apr,22
08-Apr,20
09-Apr,20
10-Apr,15
11-Apr,16
12-Apr,15
13-Apr,14
14-Apr,12
15-Apr,16
16-Apr,10
17-Apr,5
18-Apr,4
19-Apr,10
20-Apr,4
21-Apr,5
22-Apr,17
23-Apr,15
24-Apr,16
25-Apr,8
26-Apr,16
27-Apr,21
28-Apr,17
29-Apr,16
30-Apr,9
01-May,15
02-May,20
03-May,11
04-May,10
05-May,15
06-May,22
07-May,20
08-May,13
09-May,15
10-May,13
11-May,10
12-May,16
13-May,19
14-May,15
15-May,23
16-May,15
17-May,12
18-May,11
19-May,13
20-May,20
21-May,16
22-May,23
23-May,30
24-May,23
25-May,19
26-May,15
27-May,10
28-May,12
29-May,17
30-May,26
31-May,25
01-Jun,21
02-Jun,29
03-Jun,22
04-Jun,13
05-Jun,6
06-Jun,16
07-Jun,8
08-Jun,14
09-Jun,21
10-Jun,13
11-Jun,14
12-Jun,13
13-Jun,22
14-Jun,13
15-Jun,14
16-Jun,23
17-Jun,28
18-Jun,21
19-Jun,9
20-Jun,9
21-Jun,18
22-Jun,15
23-Jun,10
24-Jun,6
25-Jun,16
26-Jun,24
27-Jun,47
28-Jun,26
29-Jun,7
30-Jun,9
01-Jul,16
02-Jul,23
03-Jul,16
04-Jul,23
05-Jul,18
06-Jul,13
07-Jul,25
08-Jul,17
09-Jul,22
10-Jul,28
11-Jul,17
12-Jul,20
13-Jul,13
14-Jul,14
15-Jul,17
16-Jul,14
17-Jul,15
18-Jul,15
19-Jul,12
20-Jul,8
21-Jul,16
22-Jul,23
23-Jul,14
24-Jul,12
25-Jul,20
26-Jul,9
27-Jul,6
28-Jul,17
29-Jul,15
30-Jul,7
31-Jul,12
01-Aug,22
02-Aug,15
03-Aug,15
04-Aug,19
05-Aug,13
06-Aug,6
07-Aug,17
08-Aug,20
09-Aug,6
10-Aug,8
11-Aug,10
12-Aug,11
13-Aug,14
14-Aug,14
15-Aug,8
16-Aug,13
17-Aug,11
18-Aug,6
19-Aug,5
20-Aug,10
21-Aug,13
22-Aug,12
23-Aug,18
24-Aug,12
25-Aug,19
26-Aug,19
27-Aug,15
28-Aug,17
29-Aug,20
30-Aug,17
31-Aug,10
01-Sep,13
02-Sep,12
03-Sep,18
04-Sep,15
05-Sep,15
06-Sep,11
07-Sep,10
08-Sep,13
09-Sep,17
10-Sep,6
11-Sep,16
12-Sep,19
13-Sep,12
14-Sep,10
15-Sep,22
16-Sep,25
17-Sep,26
18-Sep,16
19-Sep,15
20-Sep,10
21-Sep,14
22-Sep,12
23-Sep,17
24-Sep,11
25-Sep,15
26-Sep,22
27-Sep,12
28-Sep,14
29-Sep,15
30-Sep,18
01-Oct,12
