Month,NO2 2020
01-Jan,15
02-Jan,18
03-Jan,18
04-Jan,15
05-Jan,12
06-Jan,18
07-Jan,25
08-Jan,26
09-Jan,25
10-Jan,27
11-Jan,16
12-Jan,20
13-Jan,29
14-Jan,32
15-Jan,33
16-Jan,29
17-Jan,24
18-Jan,20
19-Jan,8
20-Jan,4
21-Jan,6
22-Jan,8
23-Jan,21
24-Jan,26
25-Jan,18
26-Jan,16
27-Jan,22
28-Jan,20
29-Jan,24
30-Jan,22
31-Jan,27
01-Feb,21
02-Feb,19
03-Feb,25
04-Feb,16
05-Feb,22
06-Feb,24
07-Feb,31
08-Feb,25
09-Feb,17
10-Feb,22
11-Feb,17
12-Feb,8
13-Feb,24
14-Feb,19
15-Feb,17
16-Feb,12
17-Feb,17
18-Feb,15
19-Feb,22
20-Feb,25
21-Feb,27
22-Feb,19
23-Feb,23
24-Feb,32
25-Feb,20
26-Feb,14
27-Feb,10
28-Feb,19
29-Feb,19
01-Mar,11
02-Mar,11
03-Mar,12
04-Mar,17
05-Mar,13
06-Mar,8
07-Mar,9
08-Mar,15
09-Mar,16
10-Mar,18
11-Mar,20
12-Mar,22
13-Mar,23
14-Mar,13
15-Mar,10
16-Mar,3
17-Mar,6
18-Mar,12
19-Mar,12
20-Mar,11
21-Mar,7
22-Mar,5
23-Mar,5
24-Mar,3
25-Mar,7
26-Mar,10
27-Mar,10
28-Mar,9
29-Mar,7
30-Mar,7
31-Mar,6
01-Apr,3
02-Apr,11
03-Apr,10
04-Apr,8
05-Apr,11
06-Apr,12
07-Apr,8
08-Apr,9
09-Apr,7
10-Apr,9
11-Apr,4
12-Apr,4
13-Apr,8
14-Apr,8
15-Apr,3
16-Apr,9
17-Apr,6
18-Apr,2
19-Apr,14
20-Apr,7
21-Apr,3
22-Apr,10
23-Apr,14
24-Apr,8
25-Apr,6
26-Apr,10
27-Apr,6
28-Apr,7
29-Apr,8
30-Apr,4
01-May,4
02-May,5
03-May,13
04-May,12
05-May,11
06-May,9
07-May,6
08-May,6
09-May,2
10-May,6
11-May,6
12-May,8
13-May,7
14-May,8
15-May,6
16-May,7
17-May,12
18-May,15
19-May,16
20-May,22
21-May,19
22-May,11
23-May,6
24-May,10
25-May,15
26-May,11
27-May,7
28-May,13
29-May,9
30-May,6
31-May,8
01-Jun,10
02-Jun,10
03-Jun,10
04-Jun,8
05-Jun,8
06-Jun,4
07-Jun,7
08-Jun,11
09-Jun,10
10-Jun,10
11-Jun,9
12-Jun,9
13-Jun,9
14-Jun,11
15-Jun,14
16-Jun,11
17-Jun,8
18-Jun,12
19-Jun,11
20-Jun,9
21-Jun,11
22-Jun,15
23-Jun,9
24-Jun,14
25-Jun,16
26-Jun,11
27-Jun,6
28-Jun,8
29-Jun,5
30-Jun,10
01-Jul,7
02-Jul,6
03-Jul,5
04-Jul,10
05-Jul,11
06-Jul,7
07-Jul,11
08-Jul,10
09-Jul,14
10-Jul,13
11-Jul,8
12-Jul,15
13-Jul,10
14-Jul,13
15-Jul,5
16-Jul,9
17-Jul,8
18-Jul,7
19-Jul,13
20-Jul,10
21-Jul,16
22-Jul,16
23-Jul,19
24-Jul,9
25-Jul,5
26-Jul,14
27-Jul,15
28-Jul,10
29-Jul,16
30-Jul,18
31-Jul,17
01-Aug,5
02-Aug,8
03-Aug,6
04-Aug,8
05-Aug,12
06-Aug,18
07-Aug,14
08-Aug,16
09-Aug,18
10-Aug,13
11-Aug,11
12-Aug,8
13-Aug,8
14-Aug,9
15-Aug,5
16-Aug,10
17-Aug,10
18-Aug,13
19-Aug,9
20-Aug,9
21-Aug,4
22-Aug,9
23-Aug,6
24-Aug,15
25-Aug,12
26-Aug,12
27-Aug,12
28-Aug,8
29-Aug,6
30-Aug,11
31-Aug,17
01-Sep,15
02-Sep,17
03-Sep,16
04-Sep,10
05-Sep,7
06-Sep,9
07-Sep,14
08-Sep,20
09-Sep,18
10-Sep,10
11-Sep,16
12-Sep,13
13-Sep,20
14-Sep,19
15-Sep,19
16-Sep,24
17-Sep,23
18-Sep,17
19-Sep,7
20-Sep,20
21-Sep,18
22-Sep,21
23-Sep,15
24-Sep,5
25-Sep,4
26-Sep,10
27-Sep,14
28-Sep,21
29-Sep,22
30-Sep,18
01-Oct,16
02-Oct,5
03-Oct,8
04-Oct,12
05-Oct,21
06-Oct,14
07-Oct,15
08-Oct,20
09-Oct,9
10-Oct,8
11-Oct,8
12-Oct,16
13-Oct,15
14-Oct,15
15-Oct,18
16-Oct,20
17-Oct,15
18-Oct,25
19-Oct,17
20-Oct,17
21-Oct,23
22-Oct,17
23-Oct,14
24-Oct,10
26-Oct,10
27-Oct,18
28-Oct,23
29-Oct,26
30-Oct,25
31-Oct,19
01-Nov,13
02-Nov,22
03-Nov,13
04-Nov,15
05-Nov,12
06-Nov,8
07-Nov,10
08-Nov,14
09-Nov,24
10-Nov,22
11-Nov,20
12-Nov,25
13-Nov,26
14-Nov,16
15-Nov,15
16-Nov,15
17-Nov,20
18-Nov,24
19-Nov,22
20-Nov,19
21-Nov,17
22-Nov,16
23-Nov,26
24-Nov,29
25-Nov,30
26-Nov,18
27-Nov,8
28-Nov,8
29-Nov,13
30-Nov,16
01-Dec,14
02-Dec,16
03-Dec,17
04-Dec,21
05-Dec,13
06-Dec,5
07-Dec,17
08-Dec,9
09-Dec,10
10-Dec,20
11-Dec,24
12-Dec,9
13-Dec,15
14-Dec,27
15-Dec,25
16-Dec,28
17-Dec,21
18-Dec,17
19-Dec,19
20-Dec,11
21-Dec,20
22-Dec,20
23-Dec,23
24-Dec,13
25-Dec,4
26-Dec,7
27-Dec,10
28-Dec,7
29-Dec,8
30-Dec,8
31-Dec,12
