Month,NO2 2020
31/12,16
30/12,18
29/12,16
28/12,14
27/12,7
26/12,11
25/12,9
24/12,11
23/12,21
22/12,14
21/12,16
20/12,12
19/12,16
18/12,20
17/12,16
16/12,18
15/12,22
14/12,17
13/12,11
12/12,16
11/12,15
10/12,13
09/12,14
08/12,17
07/12,20
06/12,14
05/12,23
04/12,20
03/12,19
02/12,20
01/12,20
30/11,23
29/11,15
28/11,18
27/11,20
26/11,20
25/11,19
24/11,22
23/11,21
22/11,11
21/11,15
20/11,21
19/11,17
18/11,18
17/11,19
16/11,19
15/11,12
14/11,19
13/11,21
12/11,17
11/11,17
10/11,17
09/11,15
08/11,18
07/11,27
06/11,18
05/11,21
04/11,22
03/11,22
02/11,14
01/11,11
31/10,17
30/10,20
29/10,20
28/10,17
27/10,18
26/10,19
24/10,12
23/10,16
22/10,24
21/10,23
20/10,20
19/10,19
18/10,23
17/10,12
16/10,15
15/10,13
14/10,11
13/10,11
12/10,20
11/10,22
10/10,15
09/10,18
08/10,20
07/10,17
06/10,19
05/10,18
04/10,23
03/10,14
02/10,12
01/10,16
30/09,23
29/09,28
28/09,25
27/09,21
26/09,12
25/09,16
24/09,26
23/09,28
22/09,40
21/09,40
20/09,32
19/09,14
18/09,21
17/09,24
16/09,12
15/09,32
14/09,36
13/09,40
12/09,15
11/09,24
10/09,29
09/09,19
08/09,19
07/09,21
06/09,21
05/09,11
04/09,17
03/09,20
02/09,23
01/09,20
31/08,16
30/08,18
29/08,18
28/08,20
27/08,25
26/08,15
25/08,16
24/08,21
23/08,17
22/08,11
21/08,19
20/08,31
19/08,32
18/08,21
17/08,23
16/08,26
15/08,16
14/08,23
13/08,26
12/08,32
11/08,17
10/08,16
09/08,24
08/08,21
07/08,31
06/08,30
05/08,25
04/08,27
03/08,18
02/08,15
01/08,14
31/07,15
30/07,22
29/07,19
28/07,17
27/07,19
26/07,25
25/07,21
24/07,21
23/07,26
22/07,23
21/07,18
20/07,17
19/07,20
18/07,25
17/07,27
16/07,22
15/07,17
14/07,21
13/07,36
12/07,23
11/07,11
10/07,13
09/07,20
08/07,26
07/07,22
06/07,17
05/07,17
04/07,14
03/07,23
02/07,21
01/07,25
30/06,28
29/06,
28/06,
27/06,
26/06,
25/06,
24/06,
23/06,
22/06,
21/06,
20/06,
19/06,
18/06,
17/06,
16/06,
15/06,
14/06,
13/06,
12/06,
11/06,
10/06,
09/06,
08/06,
07/06,
06/06,
05/06,21
04/06,21
03/06,24
02/06,19
01/06,19
31/05,7
30/05,6
29/05,8
28/05,14
27/05,11
26/05,23
25/05,13
24/05,13
23/05,11
22/05,17
21/05,22
20/05,11
19/05,23
18/05,27
17/05,29
16/05,15
15/05,17
14/05,28
13/05,20
12/05,26
11/05,21
10/05,16
09/05,16
08/05,24
07/05,22
06/05,24
05/05,18
04/05,21
03/05,27
02/05,11
01/05,16
30/04,9
29/04,21
28/04,20
27/04,30
26/04,33
25/04,17
24/04,11
23/04,29
22/04,25
21/04,15
20/04,13
19/04,13
18/04,5
17/04,10
16/04,19
15/04,23
14/04,18
13/04,15
12/04,9
11/04,19
10/04,19
09/04,13
08/04,27
07/04,26
06/04,24
05/04,27
04/04,15
03/04,20
02/04,17
01/04,19
31/03,22
30/03,
29/03,7
28/03,15
27/03,15
26/03,15
25/03,22
24/03,24
23/03,21
22/03,10
21/03,8
20/03,15
19/03,21
18/03,27
17/03,32
16/03,32
15/03,13
14/03,24
13/03,18
12/03,18
11/03,21
10/03,20
09/03,29
08/03,20
07/03,19
06/03,26
05/03,25
04/03,29
03/03,27
02/03,26
01/03,15
29/02,16
28/02,26
27/02,27
26/02,26
25/02,22
24/02,19
23/02,14
22/02,14
21/02,20
20/02,21
19/02,20
18/02,19
17/02,17
16/02,11
15/02,22
14/02,27
13/02,23
12/02,16
11/02,15
10/02,19
09/02,12
08/02,21
07/02,27
06/02,23
05/02,19
04/02,21
03/02,25
02/02,16
01/02,20
31/01,25
30/01,23
29/01,18
28/01,21
27/01,25
26/01,15
25/01,19
24/01,26
23/01,32
22/01,24
21/01,27
20/01,26
19/01,17
18/01,25
17/01,26
16/01,34
15/01,22
14/01,22
13/01,23
12/01,13
11/01,19
10/01,21
09/01,19
08/01,20
07/01,26
06/01,26
05/01,20
04/01,17
03/01,19
02/01,29
01/01,20
