Month,NO2 2019
01-Jan,9
02-Jan,13
03-Jan,28
04-Jan,26
05-Jan,14
06-Jan,18
07-Jan,28
08-Jan,22
09-Jan,15
10-Jan,20
11-Jan,25
12-Jan,20
13-Jan,13
14-Jan,19
15-Jan,24
16-Jan,21
17-Jan,25
18-Jan,26
19-Jan,28
20-Jan,24
21-Jan,29
22-Jan,30
23-Jan,24
24-Jan,22
25-Jan,25
26-Jan,27
27-Jan,21
28-Jan,26
29-Jan,28
30-Jan,27
31-Jan,32
01-Feb,29
02-Feb,23
03-Feb,14
04-Feb,27
05-Feb,28
06-Feb,27
07-Feb,28
08-Feb,22
09-Feb,17
10-Feb,16
11-Feb,21
12-Feb,26
13-Feb,23
14-Feb,32
15-Feb,44
16-Feb,36
17-Feb,35
18-Feb,41
19-Feb,30
20-Feb,28
21-Feb,29
22-Feb,15
23-Feb,28
24-Feb,36
25-Feb,42
26-Feb,34
27-Feb,41
28-Feb,30
01-Mar,24
02-Mar,26
03-Mar,13
04-Mar,21
05-Mar,22
06-Mar,24
07-Mar,26
08-Mar,14
09-Mar,18
10-Mar,16
11-Mar,24
12-Mar,23
13-Mar,17
14-Mar,21
15-Mar,20
16-Mar,20
17-Mar,13
18-Mar,22
19-Mar,28
20-Mar,32
21-Mar,29
22-Mar,29
23-Mar,18
24-Mar,19
25-Mar,25
26-Mar,24
27-Mar,26
28-Mar,23
29-Mar,27
30-Mar,30
31-Mar,17
01-Apr,28
02-Apr,33
03-Apr,32
04-Apr,25
05-Apr,24
06-Apr,19
07-Apr,26
08-Apr,15
09-Apr,19
10-Apr,14
11-Apr,16
12-Apr,14
13-Apr,12
14-Apr,19
15-Apr,27
16-Apr,26
17-Apr,31
18-Apr,19
19-Apr,22
20-Apr,19
21-Apr,11
22-Apr,19
23-Apr,22
24-Apr,27
25-Apr,28
26-Apr,18
27-Apr,13
28-Apr,16
29-Apr,23
30-Apr,19
01-May,23
02-May,23
03-May,19
04-May,19
05-May,26
06-May,25
07-May,27
08-May,25
09-May,25
10-May,22
11-May,11
12-May,20
13-May,13
14-May,13
15-May,19
16-May,24
17-May,23
18-May,20
19-May,22
20-May,26
21-May,19
22-May,21
23-May,32
24-May,17
25-May,15
26-May,24
27-May,21
28-May,21
29-May,18
30-May,23
31-May,23
01-Jun,19
02-Jun,36
03-Jun,30
04-Jun,34
05-Jun,28
06-Jun,24
07-Jun,15
08-Jun,15
09-Jun,15
10-Jun,26
11-Jun,27
12-Jun,26
13-Jun,34
14-Jun,21
15-Jun,15
16-Jun,31
17-Jun,30
18-Jun,38
19-Jun,31
20-Jun,24
21-Jun,15
22-Jun,9
23-Jun,23
24-Jun,36
25-Jun,34
26-Jun,16
27-Jun,19
28-Jun,25
29-Jun,25
30-Jun,23
01-Jul,15
02-Jul,17
03-Jul,20
04-Jul,18
05-Jul,16
06-Jul,8
07-Jul,19
08-Jul,17
09-Jul,16
10-Jul,25
11-Jul,23
12-Jul,17
13-Jul,11
14-Jul,18
15-Jul,16
16-Jul,19
17-Jul,26
18-Jul,25
19-Jul,24
20-Jul,11
21-Jul,23
22-Jul,24
23-Jul,25
24-Jul,21
25-Jul,13
26-Jul,10
27-Jul,14
28-Jul,31
29-Jul,19
30-Jul,24
31-Jul,23
01-Aug,26
02-Aug,19
03-Aug,16
04-Aug,30
05-Aug,27
06-Aug,28
07-Aug,24
08-Aug,31
09-Aug,17
10-Aug,18
11-Aug,26
12-Aug,22
13-Aug,26
14-Aug,27
15-Aug,22
16-Aug,21
17-Aug,13
18-Aug,23
19-Aug,35
20-Aug,28
21-Aug,36
22-Aug,31
23-Aug,24
24-Aug,15
25-Aug,28
26-Aug,34
27-Aug,35
28-Aug,33
29-Aug,25
