Month,NO2 2019
01-Jan,21
02-Jan,26
03-Jan,31
04-Jan,31
05-Jan,29
06-Jan,30
07-Jan,36
08-Jan,27
09-Jan,30
10-Jan,29
11-Jan,30
12-Jan,30
13-Jan,22
14-Jan,25
15-Jan,43
16-Jan,39
17-Jan,31
18-Jan,46
19-Jan,30
20-Jan,34
21-Jan,40
22-Jan,33
23-Jan,35
24-Jan,51
25-Jan,40
26-Jan,34
27-Jan,19
28-Jan,30
29-Jan,46
30-Jan,38
31-Jan,48
01-Feb,31
02-Feb,19
03-Feb,31
04-Feb,37
05-Feb,36
06-Feb,39
07-Feb,31
08-Feb,36
09-Feb,29
10-Feb,30
11-Feb,38
12-Feb,40
13-Feb,28
14-Feb,53
15-Feb,55
16-Feb,44
17-Feb,36
18-Feb,41
19-Feb,42
20-Feb,40
21-Feb,42
22-Feb,42
23-Feb,39
24-Feb,40
25-Feb,55
26-Feb,61
27-Feb,58
28-Feb,28
01-Mar,25
02-Mar,20
03-Mar,15
04-Mar,26
05-Mar,25
06-Mar,17
07-Mar,30
08-Mar,28
09-Mar,9
10-Mar,23
11-Mar,23
12-Mar,27
13-Mar,25
14-Mar,27
15-Mar,33
16-Mar,27
17-Mar,28
18-Mar,34
19-Mar,38
20-Mar,38
21-Mar,32
22-Mar,36
23-Mar,27
24-Mar,25
25-Mar,24
26-Mar,37
27-Mar,34
28-Mar,52
29-Mar,45
30-Mar,42
31-Mar,25
01-Apr,43
02-Apr,27
03-Apr,18
04-Apr,19
05-Apr,24
06-Apr,14
07-Apr,28
08-Apr,27
09-Apr,29
10-Apr,34
11-Apr,36
12-Apr,27
13-Apr,24
14-Apr,32
15-Apr,35
16-Apr,41
17-Apr,46
18-Apr,43
19-Apr,38
20-Apr,26
21-Apr,46
22-Apr,43
23-Apr,42
24-Apr,40
25-Apr,34
26-Apr,23
27-Apr,19
28-Apr,32
29-Apr,43
30-Apr,37
01-May,29
02-May,25
03-May,12
04-May,16
05-May,22
06-May,40
07-May,38
08-May,32
09-May,41
10-May,29
11-May,27
12-May,34
13-May,29
14-May,26
15-May,17
16-May,29
17-May,33
18-May,29
19-May,30
20-May,28
21-May,49
22-May,44
23-May,22
24-May,20
25-May,20
26-May,21
27-May,24
28-May,35
29-May,29
30-May,32
31-May,46
01-Jun,46
02-Jun,50
03-Jun,41
04-Jun,34
05-Jun,34
06-Jun,29
07-Jun,25
08-Jun,29
09-Jun,27
10-Jun,26
11-Jun,25
12-Jun,35
13-Jun,36
14-Jun,30
15-Jun,24
16-Jun,41
17-Jun,41
