Month,NO2 2020
01-Jan,34
02-Jan,35
03-Jan,38
04-Jan,21
05-Jan,29
06-Jan,33
07-Jan,49
08-Jan,61
09-Jan,49
10-Jan,28
11-Jan,28
12-Jan,38
13-Jan,44
14-Jan,38
15-Jan,40
16-Jan,36
17-Jan,25
18-Jan,26
19-Jan,16
20-Jan,17
21-Jan,17
22-Jan,24
23-Jan,25
24-Jan,23
25-Jan,20
26-Jan,20
27-Jan,25
28-Jan,16
29-Jan,17
30-Jan,19
31-Jan,19
01-Feb,14
02-Feb,18
03-Feb,25
04-Feb,33
05-Feb,30
06-Feb,32
07-Feb,30
08-Feb,28
09-Feb,23
10-Feb,29
11-Feb,27
12-Feb,24
13-Feb,22
14-Feb,26
15-Feb,25
16-Feb,24
17-Feb,23
18-Feb,25
19-Feb,28
20-Feb,40
21-Feb,41
22-Feb,42
23-Feb,34
24-Feb,38
25-Feb,36
26-Feb,19
27-Feb,21
28-Feb,31
29-Feb,18
01-Mar,10
02-Mar,13
03-Mar,20
04-Mar,17
05-Mar,17
06-Mar,17
07-Mar,21
08-Mar,21
09-Mar,24
10-Mar,17
11-Mar,28
12-Mar,34
13-Mar,26
14-Mar,13
15-Mar,11
16-Mar,12
17-Mar,13
18-Mar,17
19-Mar,14
20-Mar,9
21-Mar,9
22-Mar,6
23-Mar,13
24-Mar,9
25-Mar,10
26-Mar,16
27-Mar,10
28-Mar,10
29-Mar,21
31-Mar,13
01-Apr,14
02-Apr,12
03-Apr,10
04-Apr,5
05-Apr,8
06-Apr,13
07-Apr,12
08-Apr,9
09-Apr,6
10-Apr,5
11-Apr,4
12-Apr,8
13-Apr,11
14-Apr,9
15-Apr,9
16-Apr,10
17-Apr,10
18-Apr,5
19-Apr,9
20-Apr,6
21-Apr,11
22-Apr,8
23-Apr,8
24-Apr,4
25-Apr,4
26-Apr,6
27-Apr,7
28-Apr,10
29-Apr,6
30-Apr,3
01-May,5
02-May,7
03-May,4
04-May,7
05-May,13
06-May,11
07-May,8
08-May,5
09-May,2
10-May,6
11-May,9
12-May,9
13-May,11
14-May,8
15-May,4
16-May,4
17-May,11
18-May,12
19-May,14
20-May,16
21-May,13
22-May,10
23-May,3
24-May,10
25-May,10
26-May,10
27-May,10
28-May,12
29-May,11
30-May,5
31-May,15
01-Jun,17
02-Jun,15
03-Jun,9
04-Jun,10
05-Jun,7
06-Jun,5
07-Jun,7
08-Jun,9
09-Jun,11
10-Jun,12
11-Jun,9
12-Jun,7
13-Jun,7
14-Jun,12
15-Jun,10
16-Jun,10
17-Jun,12
18-Jun,12
19-Jun,15
20-Jun,14
21-Jun,18
22-Jun,22
23-Jun,21
24-Jun,17
25-Jun,16
26-Jun,10
27-Jun,9
28-Jun,17
29-Jun,17
30-Jun,17
01-Jul,15
02-Jul,9
03-Jul,9
04-Jul,8
05-Jul,13
06-Jul,15
07-Jul,19
08-Jul,11
09-Jul,15
10-Jul,10
11-Jul,6
12-Jul,11
13-Jul,11
14-Jul,12
15-Jul,15
16-Jul,11
17-Jul,11
18-Jul,16
19-Jul,22
20-Jul,16
21-Jul,14
22-Jul,23
23-Jul,19
24-Jul,11
25-Jul,20
26-Jul,24
27-Jul,21
28-Jul,21
29-Jul,15
30-Jul,24
31-Jul,21
01-Aug,8
02-Aug,8
03-Aug,10
04-Aug,17
05-Aug,22
06-Aug,17
07-Aug,18
08-Aug,13
09-Aug,16
10-Aug,13
11-Aug,12
12-Aug,17
13-Aug,22
14-Aug,10
15-Aug,7
16-Aug,11
17-Aug,12
18-Aug,17
19-Aug,22
20-Aug,13
21-Aug,10
22-Aug,11
23-Aug,15
24-Aug,24
25-Aug,30
26-Aug,27
27-Aug,15
28-Aug,4
29-Aug,4
30-Aug,14
31-Aug,32
01-Sep,20
02-Sep,26
03-Sep,29
04-Sep,27
05-Sep,12
06-Sep,10
07-Sep,9
08-Sep,21
09-Sep,15
10-Sep,21
11-Sep,22
12-Sep,12
13-Sep,8
14-Sep,19
15-Sep,25
16-Sep,17
17-Sep,19
18-Sep,9
19-Sep,9
20-Sep,18
21-Sep,23
22-Sep,18
23-Sep,14
24-Sep,11
25-Sep,13
26-Sep,8
27-Sep,28
28-Sep,36
29-Sep,35
30-Sep,23
01-Oct,10
02-Oct,9
03-Oct,8
04-Oct,16
05-Oct,25
06-Oct,31
07-Oct,34
08-Oct,34
09-Oct,15
10-Oct,6
11-Oct,8
12-Oct,28
13-Oct,16
14-Oct,19
15-Oct,21
16-Oct,26
17-Oct,27
18-Oct,32
19-Oct,24
20-Oct,16
21-Oct,17
22-Oct,20
23-Oct,19
24-Oct,9
26-Oct,16
27-Oct,17
28-Oct,26
29-Oct,30
30-Oct,35
31-Oct,29
01-Nov,28
02-Nov,25
03-Nov,21
04-Nov,16
05-Nov,22
06-Nov,18
07-Nov,14
08-Nov,21
09-Nov,29
10-Nov,30
11-Nov,31
12-Nov,34
13-Nov,32
14-Nov,30
15-Nov,15
16-Nov,27
17-Nov,31
18-Nov,30
19-Nov,31
20-Nov,27
21-Nov,27
22-Nov,29
23-Nov,40
24-Nov,40
25-Nov,34
26-Nov,27
27-Nov,29
28-Nov,22
29-Nov,22
30-Nov,30
01-Dec,28
02-Dec,25
03-Dec,27
04-Dec,19
05-Dec,14
06-Dec,13
07-Dec,11
08-Dec,12
09-Dec,21
10-Dec,17
11-Dec,13
12-Dec,14
13-Dec,23
14-Dec,26
15-Dec,20
16-Dec,31
17-Dec,32
18-Dec,33
19-Dec,19
20-Dec,20
21-Dec,26
22-Dec,27
23-Dec,25
24-Dec,16
25-Dec,10
26-Dec,22
27-Dec,20
28-Dec,14
29-Dec,16
30-Dec,17
31-Dec,20
