Month,NO2 2020
01-Jan,38
02-Jan,36
03-Jan,47
04-Jan,35
05-Jan,43
06-Jan,31
07-Jan,31
08-Jan,33
09-Jan,53
10-Jan,52
11-Jan,55
12-Jan,44
13-Jan,39
14-Jan,48
15-Jan,31
16-Jan,41
17-Jan,41
18-Jan,34
19-Jan,36
20-Jan,43
21-Jan,61
22-Jan,39
23-Jan,48
24-Jan,55
25-Jan,40
26-Jan,33
27-Jan,57
28-Jan,32
29-Jan,43
30-Jan,44
31-Jan,45
01-Feb,33
02-Feb,25
03-Feb,37
04-Feb,22
05-Feb,43
06-Feb,41
07-Feb,48
08-Feb,41
09-Feb,41
10-Feb,35
11-Feb,39
12-Feb,51
13-Feb,33
14-Feb,42
15-Feb,35
16-Feb,33
17-Feb,35
18-Feb,32
19-Feb,41
20-Feb,41
21-Feb,39
22-Feb,39
23-Feb,34
24-Feb,30
25-Feb,35
26-Feb,24
27-Feb,35
28-Feb,36
01-Mar,31
02-Mar,
03-Mar,32
04-Mar,41
05-Mar,31
06-Mar,33
07-Mar,38
08-Mar,30
09-Mar,33
10-Mar,39
11-Mar,34
12-Mar,30
13-Mar,23
14-Mar,15
15-Mar,22
16-Mar,26
17-Mar,26
18-Mar,38
19-Mar,39
20-Mar,35
21-Mar,26
22-Mar,9
23-Mar,16
24-Mar,24
25-Mar,17
26-Mar,19
27-Mar,19
28-Mar,25
29-Mar,17
30-Mar,11
31-Mar,20
01-Apr,29
02-Apr,36
03-Apr,30
04-Apr,21
05-Apr,32
06-Apr,49
07-Apr,31
08-Apr,31
09-Apr,32
10-Apr,30
11-Apr,18
12-Apr,16
13-Apr,13
14-Apr,13
15-Apr,24
16-Apr,29
17-Apr,17
18-Apr,12
19-Apr,11
20-Apr,14
21-Apr,23
22-Apr,25
23-Apr,29
24-Apr,11
25-Apr,8
26-Apr,13
27-Apr,19
28-Apr,15
29-Apr,14
30-Apr,10
01-May,12
02-May,9
03-May,21
04-May,24
05-May,19
06-May,22
07-May,25
08-May,12
09-May,10
10-May,17
11-May,20
12-May,24
13-May,17
14-May,19
15-May,15
16-May,12
17-May,21
18-May,31
19-May,24
20-May,26
21-May,29
22-May,13
23-May,14
24-May,29
25-May,34
26-May,24
27-May,33
28-May,22
29-May,21
30-May,15
31-May,23
01-Jun,12
02-Jun,30
03-Jun,24
04-Jun,22
05-Jun,29
06-Jun,12
07-Jun,24
08-Jun,24
09-Jun,24
10-Jun,22
11-Jun,26
12-Jun,35
13-Jun,19
14-Jun,23
15-Jun,25
16-Jun,25
17-Jun,18
18-Jun,23
19-Jun,29
20-Jun,17
21-Jun,29
22-Jun,31
23-Jun,27
24-Jun,26
25-Jun,21
26-Jun,19
27-Jun,15
28-Jun,17
29-Jun,19
30-Jun,24
01-Jul,23
02-Jul,23
03-Jul,17
04-Jul,26
05-Jul,30
06-Jul,17
07-Jul,24
08-Jul,32
09-Jul,36
10-Jul,58
11-Jul,11
12-Jul,29
13-Jul,31
14-Jul,46
15-Jul,25
16-Jul,21
17-Jul,14
18-Jul,20
19-Jul,21
20-Jul,21
21-Jul,26
22-Jul,25
23-Jul,26
24-Jul,22
25-Jul,15
26-Jul,24
27-Jul,
28-Jul,34
29-Jul,28
30-Jul,42
31-Jul,25
01-Aug,11
02-Aug,27
03-Aug,25
04-Aug,30
05-Aug,30
06-Aug,35
07-Aug,31
08-Aug,31
09-Aug,26
10-Aug,21
11-Aug,18
12-Aug,19
13-Aug,18
14-Aug,16
15-Aug,11
16-Aug,17
17-Aug,17
18-Aug,16
19-Aug,18
20-Aug,23
21-Aug,32
22-Aug,17
23-Aug,22
24-Aug,26
25-Aug,40
26-Aug,29
27-Aug,22
28-Aug,15
29-Aug,15
30-Aug,23
31-Aug,23
01-Sep,39
02-Sep,38
03-Sep,37
04-Sep,61
05-Sep,17
06-Sep,26
07-Sep,36
08-Sep,42
09-Sep,34
10-Sep,42
11-Sep,31
12-Sep,27
13-Sep,33
14-Sep,36
15-Sep,40
16-Sep,43
17-Sep,41
18-Sep,23
19-Sep,22
20-Sep,33
21-Sep,31
22-Sep,29
23-Sep,35
24-Sep,24
25-Sep,21
26-Sep,19
27-Sep,37
28-Sep,37
29-Sep,32
30-Sep,34
01-Oct,19
02-Oct,20
03-Oct,17
04-Oct,26
05-Oct,26
06-Oct,35
07-Oct,40
08-Oct,34
09-Oct,39
10-Oct,12
11-Oct,30
12-Oct,31
13-Oct,30
14-Oct,27
15-Oct,27
16-Oct,28
17-Oct,31
18-Oct,34
19-Oct,32
20-Oct,32
21-Oct,26
22-Oct,24
23-Oct,22
24-Oct,23
25-Oct,22
26-Oct,27
28-Oct,33
29-Oct,35
30-Oct,42
31-Oct,29
01-Nov,22
02-Nov,28
03-Nov,24
04-Nov,22
05-Nov,33
06-Nov,27
07-Nov,24
08-Nov,27
09-Nov,30
10-Nov,33
11-Nov,26
12-Nov,32
13-Nov,27
14-Nov,24
15-Nov,17
16-Nov,24
17-Nov,29
18-Nov,27
19-Nov,38
20-Nov,33
21-Nov,29
22-Nov,27
23-Nov,38
24-Nov,44
25-Nov,49
26-Nov,45
27-Nov,41
28-Nov,34
29-Nov,27
30-Nov,31
01-Dec,25
02-Dec,27
03-Dec,28
04-Dec,23
05-Dec,22
06-Dec,22
07-Dec,27
08-Dec,27
09-Dec,30
10-Dec,34
11-Dec,34
12-Dec,28
13-Dec,32
14-Dec,45
15-Dec,41
16-Dec,29
17-Dec,32
18-Dec,29
19-Dec,31
20-Dec,22
21-Dec,24
22-Dec,26
23-Dec,27
24-Dec,21
25-Dec,18
26-Dec,25
27-Dec,20
28-Dec,25
29-Dec,28
30-Dec,33
31-Dec,38
